node_index;latitude;longitude
1;0;0
2;-80.92867106780486;-122.72299475792659
3;-102.53082610259266;-78.02731732515758
4;-113.781293386226;-107.33210136164347
5;-79.96889389488673;-78.12022496755336
6;-75.54157554661307;-92.90484380033465
7;-94.61956341611963;-61.920757143363886
8;-193.2092910954898;-50.30878714534723
9;-186.31736537555827;-89.1074867625506
10;-159.68973119797786;-42.3939220149522
11;-181.74387911412188;-74.89062373331036
12;-197.49654625415482;-45.081564761872826
13;-140.42644905813648;-88.86148619741543
14;83.43878398522139;-148.1401088867343
15;58.531888153074625;-137.95188251667489
16;54.13236461266162;-165.06428558791106
17;83.8317264243564;-123.1937335267114
18;43.34921452489787;-113.12284880104782
19;30.867201606086958;-131.00249626079457
20;0;0
21;229.1295908009427;-160.93362178051103
22;346.6520978584965;-239.78025992625692
23;25.05385466504206;-19.09330684881354
24;232.48403370511696;-199.73338246822453
25;0;0
26;-59.5;-99.0
27;37.5;207.0
28;-137.0;228.5
29;109.5;46.5
30;0;0
31;94.48875415793326;-11.601760189544395
32;-5.097579815031778;97.26761722722563
33;59.19548015669468;-75.76675949021289
34;-85.35043522245832;38.00046206460648
35;-94.32060405659335;-48.058748178521704
36;-85.70567837657586;-55.65791831789206
37;-20.596736760845403;105.96102481889054
38;-11.49415086715744;-93.61234655753434
39;-86.82508844946334;40.48720366396987
40;33.494346088681816;-92.02495955805146
41;67.08294727868595;74.50316077933554
42;40.49523571901661;-86.84231324709715
43;-70.43786897269119;-75.53536668713244
44;-90.22897051418232;-44.00760935251488
45;-49.55257665373303;-85.8275804102169
46;-13.822452798524745;98.35186213170807
